[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_ace_sw 导出数据, 420条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_ace_sw,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_ap 导出数据, 1条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_ap,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_dst 导出数据, 8条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_dst,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库 element_f107,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_goes_ie 导出数据, 98条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_goes_ie,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_goes_ip 导出数据, 98条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_goes_ip,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_goes_mag 导出数据, 493条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_goes_mag,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_goes_xr 导出数据, 493条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_goes_xr,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_hpi 导出数据, 99条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_hpi,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_kp 导出数据, 6条
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  element_kp,压缩并导出
[root][2020-07-24 16:19:26][2020-07-24 16:19:26][      1891]:  数据库表element_rad 导出数据, 63条
[root][2020-07-24 16:19:26][2020-07-24 16:19:27][      1891]:  element_rad,压缩并导出
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库 element_ssn,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库表element_ste_het 导出数据, 95条
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  element_ste_het,压缩并导出
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库表element_ste_mag 导出数据, 471条
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  element_ste_mag,压缩并导出
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库表element_ste_sw 导出数据, 471条
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  element_ste_sw,压缩并导出
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库 element_swpc_flare,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 16:19:27][2020-07-24 16:19:27][      1891]:  数据库 element_tec,产品不存在,时间段2020-07-24 2020-07-24
